Study ID,Title,Title, Does the paper define completeness of requirements ,"If yes, list the definitions provided"
Amaral 2022,AI-Enabled Automation for Completeness Checking of Privacy Policies,AI-Enabled Automation for Completeness Checking of Privacy Policies,Yes,"A privacy policy is deemed ""complete"" according to GDPR if it explicitly contains certain information mandatory for ensuring data protection and privacy rights, e.g., about the rights individuals have over their personal data.
Source: Proposed in this paper
"
Bankauskaite 2018,An approach: SysML-based automated completeness evaluation of the system requirements specification,An Approach: SysML-based Automated Completeness Evaluation of the System Requirements Specification,Yes,"We understand the completeness of the SRS as atomic requirements coverage by atomic model elements
Source: Proposed in this paper

"
Crapo 2017,Requirements Capture and Analysis in ASSERT(TM),Requirements Capture and Analysis in ASSERT™,No,
Iqbal 2019,Forward engineering completeness for software by using requirements validation framework,Forward Engineering Completeness for Software by Using Requirements Validation Framework,Yes,"Completeness is defined as 'the state or condition of having all the necessary or appropriate parts
Source: Referenced (Oxford Dictionary citation provided: [16] G. D. S. Hadad, C. S. Litvak, J. H. Doorn, M. Ridao, Dealing with Completeness in Requirements Engineering, McGraw-Hill Education, New York, USA, 5th ed, 2015.)

Whereas requirements completeness is defined as 'a quality demanded to the set of software requirements and to each requirement itself, in order to ensure that there is no information left aside
Source: Referenced (Citation provided: [17] M. K. Pour, ""Encyclopedia of Information Science and Technology"", IGI Global, USA, 4th ed, 2017.)

The software after the development process is said to be in the completeness form, if it satisfies all the functional and non-functional requirements.
Source: Proposed in this paper"
Luitel 2024,Improving requirements completeness: automated assistance through large language models,Improving requirements completeness: automated assistance through large language models,,"The RE literature identifies two different notions of completeness [53]: (1) Internal completeness pertains to requirements being closed in terms of the functions and qualities that can be deduced solely from the requirements. (2) External completeness focuses on ensuring that requirements encompass all the information suggested by external sources of knowledge. These sources can include individuals (such as stakeholders) or artifacts like higher-level requirements and existing system descriptions [4].

Source: Referenced from Didar Z, Vincenzo G (2003) On the interplay between consistency, completeness, and correctness in requirements evolution. Inf Softw Technol 45(14):993–1009"
Ahmad 2018,A tool-based boilerplate technique to improve SRS quality: An evaluation,A Tool-based Boilerplate Technique to Improve SRS Quality: An Evaluation,No,
Audacio 2021,"A Method to Evaluating Consistency, Completeness and Correctness in Evolution Requirements","A Method to Evaluating Consistency, Completeness and Correctness in Evolution Requirements",Yes,"For a requirement to be complete, it must contain at least three characteristics, namely: 1) No information should be left as undeclared, undetermined or unrelated to the domain; 2) The information must not contain objects, entities or indefinite terms, that is, each operation or condition must be constructed using syntax and semantic rules and 3) No information must be absent, that is, all parts or units must be present and each part or unit must be fully developed
"
Muhairat 2020,An intelligent recommender system based on association rule analysis for requirement engineering,An Intelligent Recommender System Based on Association Rule Analysis for Requirement Engineering,No,
Kravari 2021,Sense: A flow-down semantics-based requirements engineering framework,SENSE: A Flow-Down Semantics-Based Requirements Engineering Framework,No,
Abbadi 2022,Enhancing Requirements Completeness of Automated Driving System in Concept Phase,Enhancing Requirements Completeness of Automated Driving System in Concept Phase,Yes,"A set of requirements is complete if and only if all stakeholders approve the set of requirements
Source: Referenced from ""R.S. Carson, et al., ""Requirements completeness,"" in INCOSE International Symposium, p. 14, 2004, https://doi.org/10.1002/j.2334-5837.2004.tb00546.x""
"
HuffmanHayes 2020,Towards Improved Network Security Requirements and Policy: Domain-Specific Completeness Analysis via Topic Modeling,Towards Improved Network Security Requirements and Policy: Domain-Specific Completeness Analysis via Topic Modeling,Yes,"Informally, we define a network policy document to be complete if the document describes all issues necessary for a wireless network acceptable use policy, and if each issue is discussed to a sufficient level of detail.
Source: Proposed in this paper"
Xiang 2023,PolicyChecker: Analyzing the GDPR Completeness of Mobile Apps' Privacy Policies,PolicyChecker: Analyzing the GDPR Completeness of Mobile Apps' Privacy Policies,Yes,"GDPR-complete, i.e., all information pertinent to the mandatory and if-applicable requirements specified in Arts. 13 and 14 must be presented in a privacy policy.
Source: Proposed in this paper"
Al-Kasabera 2020,An automated approach to validate requirements specification,An Automated Approach to Validate Requirements Specification,Yes,"Software Requirements Specification (SRS) is complete [13] if it includes the following elements: First, all the requirements related to functionality attributes in SRS should be treated. Second, the definition of the responses of the software to all realizable classes of input data, in all realizable classes of situations, note that it is important to specify the responses to both valid and invalid input values. Third, all the diagrams, labels, figures, term definitions and measures should be referenced and labelled.
Source: A. Al-Hroob, A. T. Imam, and R. Al-Heisa, ""The use of artificial neural networks for extracting actions and actors from requirements document,"" Information and Software Technology, vol. 101, pp. 1-15, 2018."
Stephen 2020,Evaluation of software requirement specification based on IEEE 830 quality properties,Evaluation of Software Requirement Specification Based on IEEE 830 Quality Properties,No,
UmarOng 2023,A Meta-Requirement Approach to Validate User Requirement Specification: Threshold Definition,A Meta-Requirement Approach to Validate User Requirement Specification: Threshold Definition,Yes,"User requirement completeness refers to the extent to which user requirements accurately and fully capture the needs and expectations of stakeholders for a given system or application.
Source: Proposed in this paper"
Torre 2020,An AI-Assisted Approach for Checking the Completeness of Privacy Policies against GDPR,An AI-assisted Approach for Checking the Completeness of Privacy Policies Against GDPR,Yes,"We use the term ""complete"" rather than ""compliant"" to signify the fact that our current approach can only detect the presence (or absence) of the information content types that GDPR envisages for privacy policies; we do not yet perform a deep semantic analysis of the detected content for verifying compliance.
Source: Proposed in this paper
"
Huayllani 2020,A granular conceptual model to define requirements for evaluating the functional completeness of a pharmacy information system,A Granular Conceptual Model to Define Requirements for Evaluating the Functional Completeness of a Pharmacy Information System,Yes,"Functional completeness is a quality attribute that is part of the ISO / IEC 25010 standard and represents the degree to which the set of functionalities delivered covers all the tasks and objectives requested by the user.
Source: Referenced from ISO 25010 standard. Full citation not provided in the paper.

According to the definition of ISO 25010, functional completeness is the 'Degree to which the set of functions covers all the specified tasks and user objectives.
Source: ISO/IEC, ""ISO/IEC 25010:2011.Systems and software engineering — Systems and software Quality Requirements and Evaluation (SQuaRE) — System and software quality models,"" ISO/IEC, 2011."
Ong 2019,Meta-requirement method towards analyzing completeness of requirements specification,Meta-requirement Method Towards Analyzing Completeness of Requirements Specification,No,
Azeem 2024,A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,No,
Jiménez 2023,USQA: A User Story Quality Analyzer prototype for supporting software engineering students,USQA: A User Story Quality Analyzer prototype for supporting software engineering students,Yes,"Implementing a set of user stories creates a feature‐complete application, no steps are missing
Source: Referenced from G. Lucassen, F. Dalpiaz, J. M. E. M. van der Werf, and S. Brinkkemper, ""Forging high‐quality user stories: towards a discipline for agile requirements,"" 2015 IEEE 23rd Int. Requir. Eng. Conf. (RE), 2015, pp. 126–135. https://doi.org/10.1109/RE.2015.7320415"
Ko 2019,Automatic recommendation to omitted steps in use case specification,Automatic recommendation to omitted steps in use case specification,No,
Meincke 2020,"Requirements in the loop : A computer-Aided analysis of consistency, completeness, and correctness of requirements","Requirements in the loop: A computer-aided analysis of consistency, completeness and correctness of requirements",Yes,"Completeness is given if for each requirement a fulfilling trace was generated that obeys all other requirements.
Source: Proposed in this paper"
